texts,Prediction
ส่วนรัฐบาลไทยเราเลือกยืนข้างรัสเซียที่เป็นเผด็จการมากกว่ายูเครนที่เป็นประชาธิปไตย,neg
แต่ผลโหวตในที่ประชุมยูเอ็นล่าสุด ไทยเห็นด้วยที่ UN เรียกร้องให้รัสเซียยุติการรุกรานยูเครน นะครับ,pos
แนวทางการฑูตเขาเปิดไพ่ 3 หน้า ไม่ว่ารัฐบาลไหนมาบริหารก็ทำอย่างนี้ทั้งนั้น ทั้งสหรัฐ จีน รัสเซีย ประเทศแห่งนี้อยู่จุดศูนย์กลางของ CLMV เอนเอียงข้างไหนแบบชัดเจนไม่ได้หรอก ที่รอดมาทุกวันนี้ก็เพราะใครเป็นหัวเรือ ส่วนใหญ่ก็ใช้แนวทางสมดุลอำนาจ ปลาไหลใส่สเก็ต อาจเป็นที่ไม่พอใจของคนที่เอนเอียงด้านใดด้านนึง แต่สุดท้ายมันก็รักษาประเทศให้คงอยู่จนปัจจุบัน ที่เห็นรัฐซื้อของงี่เง่า บางอย่างก็ซื้อเพราะต้องรักษาสมดุลอำนาจนี่แหล่ะ,neg
แต่ระยะหลังมานี้ ไม่ว่าจะฝ่ายไหนก็พยายามที่จะให้ไทยเลือกข้างไปสักทางให้ได้ ทั้งที่ไอ้แบบนี้แหละ ทำให้ไทยยังอยู่ได้ถึงทุกวันนี้ไม่เข้าใจพวกที่เกลียด Siamese Talk จริงๆแค่มนุษย์คนนึงที่อยากรู้เกี่ยวกับวงการไอที,neg
เราควรภูมิใจกับเรื่องแบบนี้เหรอครับถ้าผมต้องเล่าเรื่องเทคนิคนี้ให้ลูกฟัง ลึก ๆ ผมก็คงกระอักกระอ่วนใจนะแล้วถ้าลูกผมถามกลับว่าเมื่อไรประเทศไทยถึงจะไม่ต้องดำเนินนโยบายเอาตัวรอดแบบนี้ เราจะตอบเขากลับว่าอย่างไรดี ?ขนาดเอสโตเนียประเทศเกิดใหม่ทีหลังไทย (แต่เจริญกว่าไทยไปแล้ว) ผ่านพ้นไฟสงครามมา มีพรมแดนติดกับรัสเซีย แต่ยังเลือกไปเข้า NATO ได้ แล้วไทยที่อยู่ไกลจากทั้งจีน รัสเซีย อเมริกา จะไม่มีวันเลือกข้างได้เลยเหรอครับ ,neg
การรับผิดชอบในสิ่งที่ตนพลาดไม่ใช่เรื่องน่าอาย มันคือวิธีการหนึ่งที่ทำตนพัฒนา,pos
ก็แล้วแต่จะคิด การบริหารบ้านเมืองมันไม่ใช่เล่นเกมส์ พลาดแล้วเริ่มใหม่กันได้ การปกครองแบบไหนก็ไม่มีทางสมบูรณ์หรอกครับ อย่าหลอกตัวเองเลย บริบทของแต่ละประเทศไม่เหมือนกัน การบอกว่าแบบไหนดีมันต้องมองสภาวะแวดล้อมของแต่ละประเทศด้วย ถ้าคิดว่าแนวคิดของคุณถูก ก็ไม่ใช่เรื่องผิดอะไร เพราะพวกเราก็ไม่ได้มีอำนาจไปบริหารประเทศนิถ้าคุณเชื่อโลกแห่งความดี มันก็เรื่องของคุณ และอยู่ที่คนในปกครองของคุณว่าจะเชื่อเหมือนกันหรือเปล่า แต่ถ้าเป็นผม ผมจะใช้ทั้งความดี และความมืด เพื่อให้คนที่อยู่ใต้การปกครองของผมอยู่รอดไม่ต้องสังเวยให้กับอำนาจภายนอก ถึงแม้ใครจะตราหน้าว่าผมเป็นคนเลวก็ตาม แล้วผมก็เคยทำมาแล้วในชีวิตจริงซึ่งผมก็ไม่ได้เสียใจอะไร เพราะอย่างน้อยผมก็พาคนในปกครองของผมถึงฝั่งทุกคน,neg
"แล้วถ้าสมมติไทยเกิดเลือกข้างไปแล้ว (ไม่ว่าจะฝั่งจีน รัสเซีย หรืออเมริกา) และไม่เจริญแบบเอสโตเนีย แต่บรรลัยกว่าขึ้นมา สุดท้ายคุณก็ด่าไทยอยู่ดี ว่าประเทศชาติล่มจมเพราะเลือกผิดฝั่ง เลือกไปทำไม ถูกมั้ยล่ะครับ?
อยากกระอักกระอ่วนใจก็เชิญครับ ต่างคนต่างความคิด แต่ถ้าให้ไทยทำสุดโต่งแบบที่คุณคิด ผมมองว่าไทยนี่แหละจะซวยจริงๆ อย่างที่คุณ akira บอก บริบทแต่ละประเทศไม่เหมือนกัน จะให้ไทยเป็นอย่างนู้นอย่างนี้มันใช้ไม่ได้ทุกเรื่องหรอกครับ//หวังว่าคงไม่มีใครมายัดเยียดผมเป็นขนมหวานหลากสีเพราะความเห็นไม่ตรงกันนะครับแค่มนุษย์คนนึงที่อยากรู้เกี่ยวกับวงการไอที",neg
ถ้าใช้ตรรกะนี้ แปลว่าอีก 100 ปี 1000 ปี ประเทศไทยก็ต้องดำเนินนโยบายทางการฑูตแบบนกสองหัวไปตลอดอย่างนั้นเหรอครับ ?แล้วจุดเริ่มต้นของการตัดสินใจได้เองจะอยู่ที่ตรงไหนครับ ?จะปล่อยให้ความกลัวครอบงำไปตลอดเลยเหรอครับ ?That is the way things are.,neg
"ก็ถ้าอยากได้แบบนั้นก็ให้รัฐบาลไทยในสมัยนี้(ถ้ายังเรียกร้องได้นะ) หรือสมัยหน้าลองดูสิครับ เอาแค่ในช่วงเวลานี้ ไม่ต้องมองไกลถึง 100 ปี 1000 ปี ลองกำหนดทิศทางได้เองแบบที่คุณบอกเลย (เช่น อยู่ฝั่งอเมริกา และบอยคอตจีน รัสเซียทุกกรณี) เดี๋ยวคงจะได้เห็นเองแหละครับว่าการตัดสัมพันธ์ทางการทูต หรือตัดการนำเข้าส่งออก จะส่งความเสียหายกับไทยขนาดไหน แล้วจะมีอะไรมารับประกันว่า ถ้าไทยเลือกฝั่งแล้ว ฝั่งที่เลือกจะช่วยเหลือเรา ชดเชยในสิ่งที่เราเคยทำการค้าไว้กับประเทศที่เป็นฝั่งตรงข้ามได้มากแค่ไหน ถ้ารับประกันไม่ได้ รัฐบาลไทยและฝั่งทูตก็โดนด่าเหมือนเดิมอย่างที่ผมบอกไป
ถ้าเปลี่ยนในช่วง 10-20 ปีให้หลัง ยังพอที่จะเปลี่ยนได้หากสถานการณ์มันดีขึ้น แต่ถ้าให้เปลี่ยนตอนนี้ในขณะที่แขนขาเราผูกรอบด้าน มีอาวุธขู่ทุกฝั่ง จะกล้าเปลี่ยนมั้ยล่ะครับ
แค่มนุษย์คนนึงที่อยากรู้เกี่ยวกับวงการไอที",neg
"ไม่ภูมิใจ และอยากให้มันเปลี่ยนแปลงครับแต่ผมมองว่าเราไม่ควรที่จะรีบเปลี่ยนในสถานการณ์ที่พร้อมจะมีมิซไซล์บินมาหาเราได้ทุกเมื่อครับ มันควรจะเริ่มทำการเปลี่ยนแปลงตอนที่แต่ละประเทศยังสงบๆและคอยดูเชิงกันอยู่อย่างช่วงที่ผ่านมา (แต่ไทยเราพลาดโอกาสนั้นและไม่ได้พัฒนาอะไร ซึ่งนั่นเป็นเรื่องที่ควรด่าครับ)ประเด็นที่ผมต้องการจะสื่อคือ ต้องแยกให้ออกระหว่าง ""สิ่งที่อยากให้เป็น"" กับ ""สิ่งที่ทำได้ตอนนี้"" ครับ
หรือคุณคิดว่าตอนนี้มันเป็นโอกาสที่ดีมากที่ประเทศไทยควรทำการเปลี่ยนแปลงครับ?",neg
"ดูจากคอมเมนต์แล้ว เขาคงอยากให้เราเปลี่ยน ""ตอนนี้"" หรือทำได้ ""ตอนนี้"" มากกว่าที่จะ ""อยากให้เป็น"" ครับ
แค่มนุษย์คนนึงที่อยากรู้เกี่ยวกับวงการไอที",neg
"เอ ... มีประโยคไหนหรือคำไหนที่ผมสื่อว่าต้องการให้ทำตอนนี้เหรอครับ ?หรือว่าอ่านใจผมได้ ?ผมไม่ได้อ่อนต่อโลกขนาดที่ว่าต้องการอะไรปุบปับหน้ามือเป็นหลังมือนะครับ ของทุกอย่างมันต้องค่อยเป็นค่อยไปตามจังหวะเวลาอยู่แล้ว อย่างไรก็ตามผมเชื่อว่าเราสามารถเริ่มก้าวเล็ก ๆ ได้เสมอ อย่างเช่นเรื่องยูเครนเอง ในที่ประชุม UN ไทยเองก็ลงชื่อว่าไม่เห็นด้วยกับรัสเซียนะครับ ไม่ได้เลือกนิ่งเฉยไม่เลือกฝั่งเป็นนกสองหัวแต่อย่าใดอ่าน comment แล้วกรุณาตีความให้ถูกด้วยครับ ว่าผมกำลังไม่เห็นด้วยกับ ""แนวคิด"" ของ comment ต้นทางหรือว่าผมไม่เห็นด้วยกับ ""สถานการณ์"" ปัจจุบันของประเทศที่มันเป็นอยู่ตอนนี้
สิ่งที่ผมไม่พอใจในทีแรกคือความคิดประมาณที่ว่าเราควรเป็นแบบนี้ไปตลอด ไม่หาทางเปลี่ยนแปลง เราควรสรรเสริญความสำเร็จของการฑูตนกสองหัวประหนึ่งว่ามันคือสุดยอดทักษะแห่งทศวรรษผมเข้าใจนะว่าบางทีการไม่เลือกมันก็เป็นเรื่องจำเป็น แต่ถ้าต้องทำไปตลอดผมก็ว่ามันน่าละอายครับ ซึ่งก็เป็นความคิดส่วนบุคคลของผมล่ะนะ คนอื่นคิดไม่เหมือนกันก็ไม่แปลกครับอีกเรื่องหนึ่งคือความสัมพันธ์ระหว่างประเทศ มันไม่มีอะไร 0/1 หรอกครับ แม้กระทั่งประเทศอเมริกาเองก็ไม่ได้เกลียดจีนทุกอย่างทุกบริบท มันก็ต้องมีบางส่วนที่ยังพึ่งพาอาศัยกันอยู่บ้าง ดังนั้นใน comment ด้านบนที่คุณบอกว่าให้ผมเรียกร้องสนับสนุนอเมริกาแล้วแบนจีนเนี่ย มันไม่ make sense ครับ ออกแนวพยายามยกตัวอย่างสุดโต่งเพื่อมาโต้แย้งหาทางเอาชนะอย่างเดียวThat is the way things are.",neg
คือกำลังจะบอกว่า เราควรภูมิใจที่เป็นนกสองหัวแบบนี้เหรอครับ ?,neg
ใช่ครับ มันแล้วแต่คุณจะคิดด้วย ถ้าคุณคิดว่ามันไม่ดี มันก็ไม่ดีนั่นแหละ ไม่มีใครหยุดความคิดคุณได้ ทุกคนมีสิทธิคิด แต่ในทางปฏิบัติมันก็อีกเรื่องนึง,neg
"Thx พึ่งรู้ว่าการเป็น ""นกสองหัว"" เป็นเรื่องดีเปิดหูเปิดตาจริงๆครับ",neg
เรียกว่าอะไรดีครับ เป็นกลาง ignorance นกสองหัว เหยียบเรือสองแคม เหยียบขี้ไก่ไม่ฝ่อ?,neg
ผมว่าแรงไปหน่อยนะ การเป็นนกสองหัวมันไม่ผิดหรอก ถ้าทำให้ทุกคนอยู่รอดได้ เท่ห์แล้วตายหมด หวังพึ่งประเทศใดประเทศหนึ่ง พอเขาไม่ช่วยก็โวยวาย ไม่น่าเป็นวิธีที่ผู้อยู่รอดใช้กัน มันใช้ได้ทั้่งทางธุรกิจ และการเมือง คนอยู่คนสุดท้ายคือผู้ชนะ คนแพ้ก็ได้แค่ป้ายเขียนสดุดดีหน้าหลุมศพไป ไม่รู้สิผมเห็นหลายคนเจ๊งยับมาแล้ว ก็เพราะความคิดโลกสมบูรณ์แบบนี้แหล่ะ ไม่ยอมรับว่าโลกความจริง มีทั้งด้านดี และด้านมืด เพียงแต่ว่าคุณใช้มันเป็นหรือเปล่าก็เท่านั้น,neg
ไร้กระดูกสันหลังจุดเริ่มต้นของการอยู่แนวหน้าของโลกคือเริ่มต้นจะเชื่อในศักยภาพของคนในชาติ และทำลายเพดานที่กดทับมันไว้ผมเชื่อว่าไทยอยู่ในชัยภูมิที่ดีเหลือเชื่อบุคลากรที่มีประสิทธิภาพมากมาย ทรัพยากรที่มีคุณค่าและผมฝันว่าวันนึงเราจะไม่ทำตัวขี้ขลาดแบบนี้ ยืนตัวตรงอย่างภาคภูมิในความเป็นมนุษย์ และเป็นมหาอำนาจที่สามารถยื่นมือช่วยเหลือมนุษย์เพื่อนบ้านโดยไม่เป็นลูกไล่ใครการมีเป้าหมายที่น่าเหลือเชื่อ ก็น่าจะดีกว่าพอใจที่เป็นอยู่แบบนี้ เพราะอย่างน้อยเราก็ไปข้างหน้า แม้จะน้อยนิดแต่ก็ไม่อยู่กับที่,neg
"ผมก็อยากเห็นประเทศเราแข็งแกร่ง สามารถแสดงจุดยืนของตัวเองได้ โดยที่ไม่ต้องเกรงกลัวทั้งฝั่งตรงข้ามและฝั่งเดียวกันเอง (มิตรแท้ ประเทศพี่น้อง ไม่มีหรอกครับ ทุกประเทศเอาประเทศตัวเองเป็นหลักทั้งนั้น เพราะงั้นผมถึงเลือกใช้คำว่าแสดงจุดยืนมากกว่าเข้าข้างประเทศใดประเทศหนึ่ง)แต่ ""ณ ตอนนี้"" เราไม่ได้เป็นแบบนั้น เรายังไม่สามารถปกป้องการโจมตีจากฝั่งตรงข้ามด้วยตัวเองได้ และเรายังไม่สามารถปกป้องการเอาเปรียบจากฝั่งเดียวกันด้วยตัวเองได้ ถ้าฝั่งใดฝั่งหนึ่งกดดันมาให้เราเลือกก็ว่าไปอย่าง แต่ถ้าเขาไม่ได้กดดันอะไรและด้วยสถานะประเทศเราตอนนี้ ผมมองว่าการที่เรารักษาความสัมพันธ์ประเทศมหาอำนาจให้มาคานกันเอง เป็นไม่กี่ทางที่เราทำให้เรารอดได้ครับถามว่าเจ็บใจไหมก็เจ็บใจครับที่ประเทศเราทำได้แค่นี้ แต่ตอนนี้เราก็ต้องเอาตัวรอดเท่าที่ทำได้ก่อน เรื่องของอนาคตไว้ค่อยไปด่าครับแต่ผมเข้าใจและไม่ได้รู้สึกแย่อะไรกับคนที่อยากให้เลือกข้างยูเครนนะ เพราะเขาก็แค่คำนึงถึงมนุษยธรรมเท่านั้นเอง อาจจะไม่ได้นึกถึงเรื่องการทูตหรือความสัมพันธ์ระหว่างประเทศก็จริง แต่หลายๆคนก็เป็นแค่คนธรรมดาเท่านั้น ไม่แปลกอะไรที่จะมองแค่มุมมองเพื่อนมนุษย์ด้วยกัน แต่คนที่อยากให้เลือกข้างรัสเซียนี่ผมไม่ค่อยเข้าใจเท่าไหร่แฮะปล. ผมรู้สึกว่ารัฐบาลชุดนี้ค่อนข้างเห็นได้ว่าจะเข้าข้างจีนและไม่เอาอเมริกาเป็นพิเศษนะครับ",neg
"tl;dr โปรรัสเซียสงสารรัสเซียมากกว่ายูเครน ส่วนยูเครนคือ ""ทำตัวเอง""พวกโปรรัสเซียมองว่าตัวร้ายที่แท้จริงคือ US ครับ วางแผนย่ำยีรัสเซียมาตลอด และเสี้ยมให้หลายๆ รัฐเอาใจออกห่างจากรัสเซีย (ด้วยแนวคิดเสรีภาพ) แต่ใจจริงแค่ต้องการค้าอาวุธให้รวยเท่านั้น NATO,EU ก็แค่ร่างทรงของ US ในอีกรูปแบบหนึ่งที่คอยกัดกินรัสเซียอย่างช้าๆสงครามยูเครน-รัสเซียครั้งนี้คือการเอาคืนของรัสเซียที่โดนพวก US ย่ำยีครับ หลังจากที่เงียบมานานส่วนยูเครนที่จริงก็เป็นเหยื่อของ US เช่นกัน แต่ไม่น่าสงสารเพราะเลือกเข้าข้างเองจนโดนสงคราม ทั้งๆ ที่ ""เลี่ยง"" ได้ (คืออยู่ใต้อาณัติรัสเซีย หรืออย่างน้อยที่สุดคือเป็นกลางไม่เข้าข้างใครแม้แต่ EU,NATO) ช่วงสงครามตอนแรกๆ ยังมีคนล้อผู้นำยูเครนเลยว่า ""ตัวตลก"" หรือไม่ก็ ""ผนงรจตกม"" ด้วยซ้ำ (แม้แต่คนใน US ระดับสูงบางคนยังคิดแบบนี้เลย แน่นอนว่าทัวร์ลง น่าเสียดายที่หา twitter ต้นตออันนั้นไม่เจอ)
ส่วนเรื่องเอกราชของชาติ พวกนั้นก็อ้างว่า ""ชีวิตประชาชน"" สำคัญกว่า ให้ยอมๆ เขาไปเพื่อรักษาชีวิตประชาชน ไม่ใช้ปลุกใจให้ไปรบ (แล้วตาย)คหสต. ผมเริ่มหลอนจนคิดไปไกลว่า ควรจะรักษาเอกราชของยูเครนหรือไม่ในเมื่อมีโลกหลังสงครามนิวเคลียร์เป็นตัวประกัน? จะกลายเป็นว่าได้เอกราชแต่แลกกับโลก fallout (สุดท้ายก็รักษาเอกราชไม่ได้อยู่ดี) หรือต้องยอมเสียชาติเพื่อโลก?",neg
ตลกดี 555OK Boomerแก้ตัวให้รัสเซียเอาเป็นเอาตายเด็ก ผู้บริสุทธิ์ชาวยูเครนล้มตายตั้งเท่าไหร่ จากการรุกรานของรัสเซีย,neg
"ผมแค่กลัวลูกบ้าปูตินที่จะปล่อยนิวเคลียร์ตอนจวนตัวครับ แบบ ""ตายตกตามกัน"" ครับใจจริงก็อยากให้ยูเครนชนะนั่นแหละ ยังเชื่อมั่นในเสรีภาพอยู่",neg
โดนย่ำยี? ตั้งแต่เปลี่ยนจากโซเวียตมาเป็นรัซเซีย รัซเซียเอากำลังไปรุยประเทศรอบๆมากี่ครั้งแล้วครับมันเป็นเหตุผลที่ประเทศรอบๆ เลยจำใจต้องเลือกมาอยู่ไม่ NATO ก็ต้องเข้า EU เพราะไม่มีประเทศไหนรอบๆนั้นที่สู้รัซเซียได้กลับกัน NATO ทำอะไร NATO อยู่เฉยๆ มาตั้งแต่ก่อตั้,neg
"จะโดนโปรรัสเซียสวนกลับแบบตรรกะวิบัติ Whataboutism ว่า ""ด่ารัสเซียว่ารุกราน ที US รุกรานตะวันออกกลางทำไมไม่ว่าอะไร"" แทนครับ",neg
ผมกลับคิดว่าจะไม่มีใครคุ้มหัวเราอย่างแท้จริง และเราจะกลายเป็นสนามอารมณ์ที่มิสไซต์ทักลูกจากทุกฝ่ายจะบินมาหาI need healing.,neg
นี่เป็นสงครามยุคไอทีระหว่างตะวันตกกะตะวันออกจริง ๆ,neu
มั่วหรือเปล่า?อ่านกระทู้ตรงไหนมาบอกตะวันออกก่อน หืม,neu
นโยบายเห็บสมัย,neg
มีแต่โฆษณา ผมเป็นลูกค้ายังไม่อยากใช้เลยของ AIS เรียบใช้ง่ายกว่าเยอะ,neg
ผมว่ามันใช้ได้ตั้งแต่เวอร์ชันเดิมแล้วนะเพราะผมจ่ายค่าโทรศัพท์ DTAC ผ่านแอพบน iPhone ที่ใช้เครือข่าย AIS อยู่เพียงแต่ว่าตอน Login ครั้งแรก ต้องเอา OTA ที่ปรากฏบนเครื่อง DTAC มา Verify ก่อน หลังจากนั้นก็ใช้งานได้ตามปกติ,pos
ยิงโฆษณา SMS ตลอด ทำสัญญาณในรถไฟใต้ดินให้ดีก่อนเถอะ,neg
เดิมใช้ Facebook Sign In เชื่อมหลายเบอร์เพื่อจัดการอย่างง่ายดาย อัพเดทใหม่หายวับ ขอบคุณในความสะดวก!!!,neg
ผมก็ว่ามันหายไปไหน งมหาเมนูตั้งนานก็ไม่เจอ อ้อ เขาตัดออกไปแล้วนี่เอง อย่างเซ็ง :(,neg
ผมยังใช้ได้นะ ตอนลอกอินกดเข้าสู่ระบบด้วยวิธีอื่น มันก็ให้ใช้เฟซบุกลอกอินเหมือนเดิม,pos
แอพใหม่หน้าตาสวยดี แต่ผมรู้สึกว่ามันรกไปหน่อย แค่จะเช็คยอดเงินก็ต้องเจอกับโฆษณาและบริการเสริมอะไรไม่รู้เต็มไปหมด,neg
ได้แนวทางมาจากควายหมอบที่พึ่งควบรวมกันแน่นวล,neg
กลับมารับเงินได้เหมือนเดิม เพิ่มเติมคือโดนสอดส่อง 555,neg
ตัดบัตรตรงแล้ว ช่างแม่ง,neg
เสียเวลานั่งย้ายไป PayPal UK ฟรีๆเลย 555,neg
ดีนะยังไม่ได้ย้ายไปไหน รอดูสถานการณ์หลังวันที่ 7 มี.ค.แค่มนุษย์คนนึงที่อยากรู้เกี่ยวกับวงการไอที,neu
รับได้อยู่นะ แต่เวินจากต่างประเทศ,neg
ไปใช้ true money นานละ,neg
รับเงินจากฝรั่งได้เปล่าครับ หรือรับจากคนจีนผ่าน Alipay ได้แล้ว,neu
แอบสงสัย PayPal สงสัยที่ปรึกษากฎหมายงงกฎหมายซะเอง ,neg
บริษัทที่ขับเคลื่อนด้วยการด่า?,neg
ฟรีแลนซ์เดือดร้อนกันหมด กว่าจะกลับมาได้ รายได้หายไปเป็นล้านแล้วมั้ง,neg
ย้ายหนีกันหมดแล้วจ้า มีอันอื่นแทนได้,neg
"Opensource เลยไหม
",neg
ผมว่ามีคนไป Reverse Engineering แล้วแก้ให้เพิ่มสมรรถนะการขุด Crypto ซะมากกว่า หรือทำเป็น Malware ไปขุดการ์ดจอคนอื่น ,neg
กลายเป็นคนกลับสนใจ LHR มากกว่า DLSS 555,neg
แฮกเขียวโกรธ แฮกแดงช่างหัวมัน แฮกรัฐบาลไทยด่ายาวเป็นปี,neg
การรันเงินที่ต้องการความหน่วงต่ำๆรันงาน หรือเปล่าครับ,neg
สงสัยรอมีนายกใหม่,pos
ต่อไป มือถือคงจะมี แบตระดับ 10 - 15 Ahr เป็นเรื่องปกติแล้วสินะ (อย่างกับแบตรถยนต์) ขอให้ออกมาผลิตเป็น Mass Product เร็วๆ,pos
แต่คิดเป็น Wh ออกมาก็กระจึ่งเดียวอยู่ดีครับ เพราะมัน 3.x Voltsอย่าไปดูแต่ Ah อย่างเดียว ดู Volt ด้วย,neg
นี่แหละ นวัตกรรม,pos
"""มีความหนาแน่นของพลังงานมากกว่าแบตเตอรีลิเธียมไอออนราว 2-5 เท่า""ขอกราบ.......... นี่คือสิ่งที่โลกรอคอย..... แค่ 2 เท่าก็ซาบซึ้งแล้ว นี่แอบให้ความหวังถึง 5 เท่าเลยเหรอ
คิดว่าต่อไปมือถือจะ...ขนาดเท่าเดิม แบทใช้ได้ 2-3 วันหรือ....เล็กลง แล้วบอกว่า... เพียงพอต่อการใช้งาน 1 วัน",pos
ผมว่าคงตาม ประโยคท้ายครับ ฮ่าๆ คงบาง แบตน้อย ประหยัดต้นทุน ใช้ได้เท่าเดิม,pos
แบตจุเท่าเดิม + ก้อนเล็กลง แล้วอัดวงจรนู่นนี่นั่นมาเพิ่มชัว,pos
"ก็คงเป็นอย่างหลังนั่นแหละครับ สำหรับบางคนที่ชาร์จมือถือเป็นประจำทุกวัน แบตอยู่ได้ 1 วันกับอยู่ได้ 3-4 วันมันไม่ค่อยต่างกันเท่าไหร่ ขอแบตอยู่ได้ 1 วันเท่าเดิมแต่เครื่องบางเบาลง อาจจะตอบโจทย์คนเหล่านั้นมากกว่าก็ได้ และส่วนตัวผมคิดว่ากลุ่มผู้ใช้ที่ 1 วันไม่พอแต่ 3-4 วันพออาจจะไม่เยอะขนาดนั้นด้วย
ส่วนตัวผมเอง... ถ้าสามารถใช้ได้ 1 วันแบบไม่ต้องกังวลใดๆต่อเนื่องซัก 2-3 ปี ผมก็โอเคแล้วครับ ขอไปเน้นเรื่องขนาดน้ำหนักแทนดีกว่า",pos
เครื่องไม่น่าจะบางกว่ากล้องอะครับ,pos
ปูดกล้องเหมือนเดิมครับ 555,neg
ผมสนใจในการเอาใช้กับรถ EV มากกว่านะ ชาร์จเต็ม 1 ครั้งวิ่งได้ 600 กม อู้หูวว,pos
ได้ต้นทุนถูกลงด้วย,pos
ตอนนี้ก็เหลือแค่พัฒนาให้สามารถนำมาเข้าสายการผลิตแบตเตอรี่ได้อย่างจริงจัง เพื่อลดต้นทุนและค่าใช้จ่ายได้ รวมถึงการ Recycle/Reuse ตัวแบตใหม่ตัวนี้ด้วย want.,pos
พกแบตก็เหมือนกับพกระเบิด อย่าให้ความจุมันเยอะเกินไป,neg
ระเบิดไม่แรงก็ไม่มีค่า ฉะนั้นความจุยิ่งเยอะ = ยิ่งเป็นระเบิดที่ดี#ผิด,pos
ถ้าไม่มีส่วนประกอบเป็นแร่หายาก ต้นทุนผลิตควรจะต้องถูกลงด้วย ผมเข้าใจถูกต้องมั้ยครับ,pos
ก็ไม่แน่ครับ อาจจะหาง่ายแต่ขั้นตอนการผลิตยากกว่าก็เป็นได้,pos
อาจจะไปติดตรงทำแผ่นคั่นนี่แหละครับ เป็น porous aromatic frameworks น่าจะทำยากพอสมควร,neu
Elon misk ต้องยกหูแล้วนะ,pos
คงรีบโทรเพราะต้องเอาไปใช้กับ semi truck ที่โม้ไว้,pos
เป็นตัวเลขที่หลายคนรอคอยบางคนคำนวณไว้ว่าจะให้รถวิ่งตามน้ำหนักที่กฎหมายกำหนดจะเหลือน้ำหนักบันทุกได้อีกแค่ตันเดียวแบตดีขึ้นน่าจะแก้ปัญหานี้ได้,pos
แต่ยังต้องใช้ลิเทียมเหมือนเดิม แหล่งสำคัญอย่างยูเครนตอนนี้ก็ชะงักด้วยสิแต่จุได้มากขึ้นก็น่าจะลดการใช้ลิเทียมลงไปได้ด้วย ไม่รู้มีข้อเสียอะไรบ้างแต่จากในข่าวคือฟังดูดีไปหมดเลย รอคอยครับ,pos
สวดยวดด,pos
มีอะไรมาแทน Li-on ซักทีเถอะะะ bottle neck ของวงการ IT จริงๆ,pos
รอรถไฟฟ้าวิ่งได้1000โลต่อชาร์จเลยงานนี้,pos
ไม่อยากรีบดีใจ กว่าจะออกจากห้องวิจัยมาถึงมือคนใช้ คงอีกนาน,neg
ยังเพิ่งผ่านขั้นตอนวิจัย ถือเป็นข่าวดีมากๆของวงการแล้วทีนี้ต้องรอเข้าสเกลอุตสาหกรรม ว่าจะอีกกี่ปี ตั้งตารอมากพวก EV กับอุปกรณ์ไฟฟ้ายุคใหม่ๆติดปัญหาเรื่องความจุแบตฯมานานมากแล้ว,pos
"RIP ลูกชายครับ
",pos
RIP ครับ ลูกชายคือแรงบรรดาลใจในการปรับปรุงอะไรหลาย ๆ อย่างของ MS ในยุค Satya เลย,pos
RIP ครับ อ่าน Hit Refresh ทำให้เห็นมุมมองของสัตยา ที่ได้มาจากการเห็นอกเห็นใจผู้คนเลยครับ,pos
เคยดูสัมภาษณ์สั้นๆ เป็นคนที่ energy แรงแบบส่งผ่านมอนิเตอร์ได้ ขอแสดงความเสียใจด้วย พ่อแม่ที่เสียลูกจะรู้สึกแย่แค่ไหนที่ช่วยลูกตัวเองไม่ได้,pos
เสียใจด้วยครับ คิดถึงความรู้สึกพ่อแม่ที่ต้องมาเสียลูกเพราะวิทยาการทางการแพทย์ยังไม่ไปถึงขั้นรักษาอาการของลูกเค้าได้ ก็รู้สึกเศร้าและเจ็บปวดแทนเค้าเหมือนกัน,pos
เค้ามีลูกกี่คน,neu
เสียใจด้วยครับSatya เป็นหนึ่งในนักธุรกิจที่มีเอกลักษณ์มากครับ,pos
"ไปใช้ Russian Express แทน
",neu
นทท รัสเซียในไทยตอนนี้มีร้องรูดบัตรซื้อสินค้า ตั๋วเครื่องบิน โรงแรม ไม่ได้ซักอย่างและไปเที่ยว ตปท ส่วนใหญ่ก็ไม่ค่อยพกเงินสดกันเยอะๆ หรอก,neg
เท่าที่เคยมีประสบการณ์ทำงานโรงแรมมา นักท่องเที่ยวรัสเซียส่วนมากจะใช้เงินสด (เป็นเงินยูโร) ครับ มีส่วนน้อยที่ใช้บัตรเครดิต จ่ายค่าห้องที ควักเงินออกมาเป็นปึก(แต่ใช้ไม่กี่ใบนะครบ ไม่รู้จะควักออกมาทั้งหมดเพื่อออ)อันนี้จากประสบการณ์ส่วนตัวนะครับ ไม่ใช่ข้อมูลจริงหรือข้อมูลทั้งหมด,pos
ไม่ค่อยจริงครับ ต่างชาติที่รู้จักทั้งเป็นญาติและเพื่อนร่วมงาน พกเงินสดมาไทยค่อนข้างเยอะเพราะแคร์ค่าเงินมากๆ ไม่รอให้เงินขึ้นหรือลดคิดว่ามาเรทไหนเอาเรทนั้นเลย,pos
ที่ไทยก็มีธนาคารพาร์ทเนอร์อยู่เจ้าเดียวนะเนี่ย,neu
