Human,texts,Prediction
neg,เดี๋ยวนะครับ อันนี้คือเป็นฟีเจอร์ที่ให้ใช้คอมควบคุมทีวีแทนรีโมทไม่ใช่เหรอ (และมีฟีเจอร์พวก screen sharing ด้วย) พอเขียนว่าไม่ง้อ HDMI นี่ทำให้เข้าใจผิดกันหมดเลยว่าหมายถึงการต่อทีวีเพื่อเป็นจอมอนิเตอร์แบบไร้สาย ส่วนการใช้ทีวีซัมซุงเป็น wireless display ผ่าน WiFi นี่ทำได้มานานแล้วนะ (ถึงจะประสิทธิภาพไม่เท่า HDMI ก็เถอะ),neg
neg,เอ่อ น่าจะเข้าใจผิดอะไรซักอย่างละ เทคโนโลยี wireless display มีมานานแล้วครับ ผมก็ใช้อยู่ทุกวันนะ เทคโนโลยีเดียวกับที่ สส. เผลอเอาวีดีโอโป๊แคสขึ้นจอทีวีกลางสภานั่นแหละเทคโนโลยีไม่ผิด คนใช้มันในทางที่ผิดนั่นแหละที่ผิด!?!,neu
neg,อันนี้ไม่แน่ใจ แต่เกรงว่าคนจะหนีแทนรึเปล่าครับ,neu
neg,มันกระทบมากขนาดน้นเลยเหรอ เนีย,neg
neu,หรือนี่คือสัญญาณ,neg
neg,ยกมือเป็น 1 ในนั้นครัช อย่างน้อยยืดเวลาไปได้ปีสองปี ถ้าเครื่อง SE รุ่นหน้ามันราคา 30000+ ก็ลาก่อย ไปซบป๋องด๋อยดีกว่า,neg
neg,ต่อไปก็ขึ้นราคาเปลี่ยนแบต ขึ้นราคาเปลี่ยนจอ เป็น10เท่า แล้วขึ้นราคา iPhoneอีกหมื่น จะได้ยอดขายเพิ่มไปอีกนะครับคุก,neg
neu,เดินในบ้านตัวเองนี่ผมหลับตาเดินบ่อยนะ ให้อย่างมากก็เดินออกไปทิ้งขยะหรือไปกดลิฟต์ อยู่ในพื้นที่ปลอดภัยที่ภาพสามมิติฝังในหัวอยู่แล้ว แต่เกินจากนั้นไปนี่ขอบาย,neu
neu,หน่วยงานรัฐหน่วยนึงบอก ทำชาเลนจ์นี้มานานแล้ว,neu
neu,โตๆแล้วควรมีสติมากกว่านี้ไหม คิดจะทำ จะเล่นอะไร น้องข้างล่าง เดินชนเจ็บนะนั่น เห้อ,neu
neu,อย่างนี้เรียกว่าจูนิเบียวได้หรือเปล่า,neu
neu,คอนจบขัดใจไปหน่อย,neu
neg,ตอนนี้ไม่มอง smart TV เลยครับ Chromecast เวิร์คกว่า The Phantom Thief ฮือ อัพรูปเป็น gif ไม่ได้ (T-T),neg
neg,"Android TV บน Smart TV นี่ส่วนใหญ่คุณภาพแค่พอรับได้ เพราะ Smart TV ชอบใช้ CPU ห่วยๆ Hardware ห่วยๆ API บั๊กกระจาย แต่ถ้าเอาแรงหน่อย มันก็จะไปอยู่บน Box แยกแทน เช่น Nvidia Shield ดังนั้น ถ้าอยากได้แรงๆ แอพ, เกมส์, HEVC UltraHD สุดท้ายก็ต้องไปพึ่ง Box แยกต่างหากอยู่ดี ของผมก็ไปจบที่ Apple TV + Smart TV (โดยที่ไม่ได้ใช้อะไรจาก Android TV) ปล. โดยเฉพาะยี่ห้อ Sony ตัวก่อน 2018 ถ้าดู Video ผ่าน App บน Andorid TV, Motionflow จะไม่ทำงานด้วย เช่น Netflix ซึ่งเป็นบั๊กที่ Sony ไม่มีวันแก้ไข",neg
pos,ตลาดนี้ ส่วนตัวคิดว่า Android TV ตอบโจทย์ผู้ใช้ มากกว่า Apple TV อยากได้มาเล่นมากๆ เก็บข้อมูลมาสักระยะแล้ว ยังหา The Best ในไทยไม่ได้เลย,pos
neg,เล่นในไทยง๋อยมากเลยถ้าไม่ได้ Netflix นี่ผมคงไม่มีอะไรดูเลยอะ แอปแทบลงอะไรไม่ได้เลย หรือผมใช้ไม่เป็นใครใช้ในนี้ให้คำแนะนำหน่อยครับ,neg
neu,ใช้ TCL C2 US ปี 2017 ก็แฮปปี้นะแม้ OS มันจะเหอๆ บ้างบางครั้ง ได้ Oreo/ Chomecast build-in อะไร ๆ ก็แคสจากมือถือขึ้นจอสะดวก ที่ชอบอีกอย่างคือลำโพงในตัว Harman เสียงมันดีใช้ได้ เกมก็เล่น PPSPP ก็ลื่นไหลดี,pos
pos,ธรรมเนียมปฏิบัติที่ถูกต้องคือออกอัพเดทnoteหลังจากS ออกได้1-2เดือน หลังจานั้นอีก1เดือนgoogleจะออกAndroid เวอชั่นใหม่,pos
pos,กรี๊ดดด รอกดอัพเลย,pos
pos,จากที่อัพเดท Xiaomi A2 lite มา พบว่า Android P เร็วกว่า Android N ค่อนข้างมากครับ ลื่นได้แบบเห็นได้ชัดเลย,pos
neu,ใช้ S8 กำลังสวดมนต์,neu
pos,รอมาเนิ่นนานนนน,pos
neg,Cloud ไทยก็ตายสิ ใครจะกล้าใช้ Cloud ต่างชาติไม่มาลงทุนทำ data center แน่นอน,neg
neg,ลาก่อยธุรกิจ IDC แล้วนี่จะเขียน SLA ยังไงดี // ถ้าคุณไม่ได้ทำอะไรผิด จะกลัวทำไม,neg
neg,งี่เง่าสิ้นดี ทำเพื่อตัวเองชัดๆ ไม่ต้องมีแล้วรัฐบาล ดูแลกันเองยังจะดีกว่า มีไปทำไม เสียดายภาษีจริงๆ,neg
neg,จะหวังให้รัฐบาลใหม่มาแก้ได้มั้ยเนี่ย (ถ้ามันได้ใหม่จริงๆอะนะ),neu
neg,พอเข้าตัวก็เปิดการ์ด ม.44 ยกเลิกยกเว้น.......,neg
neg,หรือว่านี่คือสัญญาณของ…,neg
neu,"""ราคาหุ้นแอปเปิลปรับลดลงในช่วงนอกเวลาทำการซื้อขายของตลาดราว 7%... "" แล้วเค้าไปซื้อขายกันยังไงครับ​ นอกเวลาก็เทรดได้เหรอ",neg
neg,ประเด็นคือ QC ที่ต่ำลง และราคาที่แพงต่างหาก ที่ทำให้ยอดขายต่ำลง ทุกคนที่ชอบแอปเปิ้ลบอกเหมือนกันหมด เรื่องราคาที่แพงมาก ปีหน้าอยากเห็นปรับราคาลงมาอีกก็ยังดี ซัก 30000 แล้ว XR ราคาที่ได้เมื่อเทียบ spec มันไม่คุ้มเลย คนเลยชะลอการซื้อ,neg
neg,อัพตามกันไม่ไหวแล้วสิครับ ราคาเปิดมาแพงเกินเหตุจริงๆ Xr นี่มันควรจะอยู่แถวๆ 2.4 หมื่นก็พอ ส่วน Xs ก็ไม่ควรจะเกิน 3.2 หมื่น ผมและหลายๆ คนที่ไปซื้อ Xr ที่ญี่ปุ่นได้ราคา 2.45 หมื่น (รวมทั้งคนที่ใช้ส่วนลดของ AIS Serenade ลดเครื่องเปล่าไปตัวละห้าพัน เหลือ 2.5 หมื่น) ราคาเท่านี้ยอมรับได้อยู่ แต่ให้จัดเต็ม 2.99 หมื่น ผมว่าของมันดีนะ แต่ไม่น่าแพงขนาดนั้น,neg
pos,ขายได้น้อย แต่กำไรมากกว่าเดิม สบายๆ,neu
neg,1070Ti นี่ราคาหมื่นต้นๆเองหรือ ราคาไทยเข้ามาเกือบสองหมื่น,neg
neg,Gbps ไม่ได้ใช่แบนด์วิธนะครับ,neg
neu,มันคือ gForce 2 MX version 2019 ใช่มั้ยเนี่ย ? ยัด GDDR5 แถมเหลือ 8 GB เลยนะพ่อคุณ,neu
neg,ยังเป็นซ็อกเก็ต AM4 เหมือนเดิม เมนบอร์ดรุ่นปัจจุบันและรุ่นเก่าคาดการว่ารองรับได้ด้วยการอัปเดตไบออส.. แนวนี้ง่ายกว่าการออกตัวแม่ใหม่อีก แค่เปลี่ยนตัวประมวลผล แต่ถ้ามีงบจัดใหม่ดีกว่า..ส่วนตัวสนับสนุนAMD แต่การ์ดจอนี่แสบตากว่าintel & nVidia,neg
neg,เมื่อก่อน amd ชอบซอยซอคเกต เดี๋ยวนี้ intel ทำเอง ซอยยิกๆถึงขนาด gen 6-7 ใช้กับบอร์ด gen 8 ไม่ได้ ผมยังมีกระจิตกระใจซื้อของ intel ได้อยู่อีกรึ?,neg
neu,อินเทล คงรู้สึกแสบแปล๊บๆ,neu
neu,งานนี้สนุกแน่,neu
neu,7 นาโน intel ยังคง 14 อยู่,neu
neg,ด่าแอปจีน โปรแกรมจีน อุปกรณ์จีนกันมาตั้งหลายปี โธ่,neg
neu,Android ไม่ได้ข้อมูลอะไรเลยเหรอครับ สงสัย,neu
neg,โทรศัพท์ซัมซุงกลายเป็นไม่น่าซื้อแล้วนะเนี่ย พี่เล่นpreloadฝังกับเครื่องมาแบบถอนการติดตั้งไม่ได้ด้วย,neg
neu,ลองอ่านเรื่อง shadow account ได้ครับ ไม่จำเป็นต้องมียัญชี SNS ใด ๆ ก็มีข้อมูลได้,neu
neu,แล้วไม่ลง fb ไว้เลยจะเอาข้อมูลอะไรไปได้ไหม,neu
neu,เรื่องนี้ (การฆาตกรรมนักข่าว) ไม่เห็นคนไทยคุยกันเลย อันนี้เพราะไม่มีข่าวหรือเปล่าครับ ได้เห็นการแถของซาอุ กับการค่อยๆปล่อยหลักฐานมาตีตกของตุรกีแล้วก็ อืม...,neu
neu,อะไรที่เชื่อได้บ้าง เพราะบางที่ไม่รู้ว่าเป็นคนของฝ่ายไหนกะนแน่,neg
neu,เท่าที่ตามจ่าว ดูเหมือน ซาอุฯ เป็นประเทศที่ไม่มีฝรั่งยุ่งเรื่องประชาธิปไตยและสิทธิมนุษยชนเลยเส้นใหญ่ขนาด ปธน.อเมริกาต้องไปทำความเคารพหลังได้ตำแหน่ง จนชักไม่แน่ใจว่า ใครคุมอเมริกา ระหว่างอิสราเอลกับซาอุฯ,neu
neu,ยังไม่เต็มฝาหลังเลยยังไม่ว้าว XD,neu
neg,ออกแบบกล้องหลังไม่ห่วงพวกที่กลัวรูเลยแหะ,neg
pos,กล้อง 5 ตัวเลยทีเดียว ไม่ได้ยินชื่อ Pureview มานานตั้งแต่ยุค Nokia เป็น WP/Symbian แล้วนะเนี่ย,neg
neg,"มีความรู้สึกว่า ""ไม่น่าเอาชื่อ PureView มาทำเล่นๆ"" มันอาจจะดีก็ได้ แต่แบบนี้มันดู ลิเก ไปหน่อย",neg
neg,วาง pattern ได้เหมือนรูระบายน้ำในส้วมเลยครับ,neu
neg,Update ตัวล่าสุดต่อ WiFi จากมือถือบางเครื่องไม่ได้ แต่บางเครื่องต่อได้ปกติ งงมาก reset ทั้งคอม ทั้งมือถือแล้วทั้ง 2 เครื่องก็ยังต่อไม่ได้ ลบเครือข่าย ต่อใหม่ก็ไม่ได้ ใครพอจะมีวิธีแก้ไขแนะนำบ้างครับ,neg
neg,ในเกือบ 40% นั้นก็คือโดนด่าไปแล้ว 30%,neg
neu,ใช้PCตั้งแต่ Windows 95 ยังไม่เคยใช้ Mac สักที อยากรู้ว่าถ้าใช้งานทั่วๆไป เช่น ดูหนัง ฟังเพลง เปิดเว็บ เปลี่ยนไปใช้ Mac ชีวิตจะง่ายขึ้นไหมครับ ถ้าเงินไม่ใช่ปัญหา,neu
neg,เจออัปเดท win10 ช่วงนี้ผมหัวร้อนเลย ขอกลับไป 7 ซักพัก,neg
neg,เครื่อง laptop บริษัทผมก็ยังใช้ Windows 7 กันต่อไป สงสัยว่าน่าจะใช้จนถึงหมด support เห็นคนอื่นที่ได้เครื่องใหม่ๆ ก็ยังเป็น Windows 7 อยู่เลย ส่วน software ตระกูล ms office ก็ย้ายไปใช้ 365 ละ,neg
neu,ตอนนี้คนยังจับผิดได้ อีกหน่อยจับผิด ai ไม่ทันนี้คง...,neg
neu,คล้ายกับนักเรียนที่ขอก็อปปี้รายงานเพื่อนไปส่งโดยไม่แก้ไขฟอนท์หรือจัดหน้าใหม่เลย คือมันเหมือนเกินครูเลยจับได้ แต่อันนี้โดนมนุษย์จับได้,neu
neg,งงว่าทำไมมองเป็นความพยายามซ่อน เพราะมันเป็นการแปลงโดยโมเดลที่คนสร้างอาจตั้งโจทย์แค่ว่าให้แปลงภาพเป็นแผนที่โดยให้รายละเอียดหายน้อยที่สุด,neu
neu,สงสัยเรื่องผลทดสอบนิดนึงว่า แล้วถ้าใส่ภาพที่ไม่เคยให้ AI แปลงมาก่อนเพื่อทดสอบว่าทำได้จริงมั้ย ผลออกมาเป็นยังไงคะ?,neu
neu,มันถึงเป็นความน่ากลัวของ ai ที่ว่าวันหนึ่งคนสอนลืมใส่กฎข้อห้ามบางอย่างอย่างลงไป มันจะเกิดผลอะไรที่คาดไม่ถึงหรือไม่ เพราะกรณีก็เหมือนว่าเพราะไม่ได้ห้ามจึงทำได้,neg
neg,อีกหน่อยคงแบ่ง zone ตามเกรด แบบโซนการค้าหรือที่พักชั้นสูง ห้ามคนเกรดต่ำเข้า,neu
neg,ใช้สอดแนมฝ่ายตรงข้ามได้ง่ายมากเลย แถมมีความเสี่ยงโดนเจาะระบบเข้าบ้านด้วย,neg
neu,จีนยังเป็นคอมมิวนิตนะครับ แต่อนุญาติให้ถือทรัพย์สินส่วนตัวได้ มี internet ใช้ ผมถือว่าเป็นแนวบวก ต่างกับสหรัฐที่บอกว่าตัวเองมีเสรีภาพในการแสดงออก แต่พูดจริงโดนตำรวจถีบประตู มาจับตัวถึงหน้าจอคอมต่างกันเยอะ,neu
neu,วิธีการใช้เทคโนโลยีกับวิธีการป้องกันการใช้ผิดประเภทพอเข้าใจได้นะ แต่คงจะตกม้าตายที่ย่อหน้าสุดท้าย,neu
neg,"ทำไมผมกลับมองว่าเป็นการ""พยายามควบคุมและจำกัดสิทธิประชากร""ทางอ้อมโดยเริ่มต้นจากผู้มีรายได้น้อยก่อน(เพราะไม่ค่อยมีสิทธิมีเสียงอะไร) โดยเป็นขั้นตอนนำร่องให้ AI ได้เรียนรู้ไปก่อน",neg
neu,แนว the quiet place เปลี่ยนจากการห้ามส่งเสียงเป็นการห้ามมองแทน มีแฟลชแบ็คเหมือนซีรีย์ส lost,neu
neg,ให้ 5/10 ทนดูจนจบเพราะอยากรู้ว่ามันเกิดอะไรขึ้น? แถมตอนจบยังฮา ไว้ตอบคำถามพวกซนๆ ตั้งคำถามแบบกวนๆ ทำนองนั้น,neu
pos,เราก็เป็นหนึ่งในนั้นสินะ ตัวหนังสนุกดี ลุ้นไปได้เรื่อยๆ เล่นกับความรู้สึกคนดูได้ดีอยู่นะ,neu
neg,ก็ไม่แปลก โปรโมตหนักมาก ๆ ลองดูเมื่อวานจนจบแล้วรู้สึกเสียดายเวลา ค้างคาและไร้ความสมเหตุสมผล,neg
neu,มื่อเทียบกับ The Quiet Place แล้ว ส่วนตัวผมรู้สึกว่า Bird Box สนุกกว่า น่าจะเป็นเพราะพลังจาก Sandra ด้วยล่ะมั้ง แต่ว่าเนื้อหามีแต่ปมที่ค้างคา ที่ไม่มีคำตอบเฉลยออกมา เลยทำให้เกิดความรู้สึกเหมือนเป็นหนังที่ตามดูชีวิตของ Marlorie แบบไม่ต้องสนใจว่าเรื่องต่างๆ มันเป็นเพราะอะไร ว่าจะไปหาหนังสืออ่านอยู่ล่ะ,neu
pos,เห็นด้วยแต่ต้องมาคิดว่าจะเก็บยังไง,pos
pos,ผมเชื่อว่าภาษีเหล่านี้ควรจะต้องจัดเก็บนะ อยากจะรอดูว่าประเทศอื่น ๆ เขาจะเริ่มยังไง บ้านเราก็อย่าให้ช้าล่ะ,neu
neu,"ประเทศไทยนี่เห็นมีความพยายามจะเก็บภาษีจาก Facebook , LINE ให้ได้มากขึ้น ไม่รู้ว่าความคืบหน้าเป็นยังไงบ้าง",neg
pos,เห็นด้วยนะที่จะเก็บภาษีบริษัทต่างชาติที่ให้บริการในประเทศอื่นเนี่ย รัฐฯจะได้รายได้เข้าประเทศบ้าง ไม่ใช่ให้ใครไม่รู้ดูดเงินออกอย่างเดียว,neu
neg,"หาเงินแข่งไม่ได้ก็เก็บภาษีแทนแล้วกัน ทศวรรษนี้ฝั่งยุโรปพ่ายแพ้อเมริกาอย่างหมดรูปในตลาด consumer ไม่ว่าจะเป็น Google, Facebook, Netflix, YouTube, iOS, Android, OSX, Windows แล้วก็ไม่รู้สถานการณ์ด้าน e-commerce ว่าเป็นอย่างไร ไม่รู้ว่าโดนจีนกับ Amazon ตีกระหน่ำจนแตกพ่ายไปหรือยัง ส่วนตัวผมคิดว่าการเก็บภาษี online พวกนี้เป็นอะไรที่ยากและซับซ้อนมาก สมมติว่า YouTube มีโฆษณาจาก agency ""ต่างประเทศ"" ไปวางโฆษณาบน video ที่ content มาจากอีกประเทศ แล้วมีคนไทยไปดู video นี้ YouTube ได้เงินจากโฆษณา agency เพราะมีคนมาดู agency ต่างประเทศจ่ายเงินให้ YouTube เป็นผู้รับเงินได้ แล้วจะต้องเสียภาษีให้ประเทศไทย ? ผมเองก็ยังนึกไม่ออกว่าจะเก็บเงินอย่างไร สมเหตุสมผลไหม เพราะในเมื่อคนไทยก็ได้เสพ content ฟรีเป็นการแลกเปลี่ยนไปแล้ว เงินได้รายรับรายจ่ายทางบัญชีก็เกิดจากประเทศอื่น มันไม่เหมือนทีวีที่รับเงินจากเจ้าของโฆษณาภายในประเทศชัดเจน",neg
pos,สวยดี,pos
pos,ถ้าแถมน้ำหอมกับกระเป๋ามานี้ ครบเครื่องเลย,pos
pos,สวยกว่า Apple Watch เยอะ,pos
neu,นี่แหละต้องสาธุ 99 เทคโนโลยีไม่ผิด คนใช้มันในทางที่ผิดนั่นแหละที่ผิด!?!,neu
neu,ทำไมบ้านเรา สมาชิกสภา ไม่มีแบบนี้,neu
pos,สร้างสรรค์มาก,pos
pos,แก้ปัญหา Filezilla Client มี Trojan แถมมาให้ด้วยเป็นเรื่องแรกเลย,pos
neg,เหอะๆ ทำไมมันคล้ายกับว่าจะปิดหูปิดตาประชาชนจากความไม่พอใจในรัฐบาลมากกว่า,neu
neg,ถ้าปิดจริงแล้วยังแพ้ จะสะใจมากครับ,neu
neg,ยุคนี้ทำอะไรโจ่งแจ้งไม่ได้แล้วมั้งนะ ขายหน้าคนเขาไปทั่วโลก,neu
neu,ผมเช็ครอบล่าสุดกับบัญชีที่ผูกไว้ ใน K PLUS เองก็ยังไม่มีแจ้งว่าผูกอะไรไว้บ้าง (หรือผมหาไม่เจอเอง?) ไม่ต้องไปถึงการยกเลิกการผูกที่ควรทำได้จากในแอปเลย,neu
neu,ผมไม่เคยคิดจะใช้ APP ของธนาคารผ่านโทรศัพท์ เหตุเพราะ มันทำธุรกรรมง่ายเกินไป,neu
neg,ระบบมีให้ยืนยัน และเจ้าของบัญชีตอบรับไปเอง .... ทำไมไม่อ่าน และคิดซะหน่อย ว่าให้ยืนยันเรื่องอะไร เราทำรายการนี้จริงหรือไม่,neg
neg,App เครือ CP อีกละเหรอ บ่อยเนาะ,neg
neg,ไม่ได้ใช้ kbank นะครับ อาศัยอ่านเอาผิดถูกยังไงขออภัยนะครับ ผมไม่โทษ 3rd party นะครับ ผิดเต็มๆคือ kbank ที่ไป trust 3rd party คือตัวเองเป็นธนาคารแต่ไม่รอบคอบ ทรูมารีเควสขอเชื่อมต่อตัดตรงได้เลยหรอและ Trust มันขนาดนั้นเลยหรือไง มันควรออกแบบให้เวลาจะขอเชื่อมต่อ ต่างฝ่ายต้องกรอก key กันเองไหม ทรูก็ต้องกรอกคีย์ที่อนุญาตจากเคแบ้งค์ เคแบ้งก็ก็ต้องกรอกคีย์ที่ได้จากทรูอะไรงี้ ไม่ใช่แค่ทรูขอเชื่อมมาอนุญาตเลย หลักฐานหรือใบสัครก็ยอมรับจากทรูเลย คือเห้ยคุณเป็นธนาคารนะเว้ย ไปยอมรับจากค่ายมือถือที่เปิดเบอร์ก็ไม่ตรวจสอบบัตรให้ตรงจนมีเรื่องมีราวมาเนี่ยนะ ความปลอดภัยอยู่ไหน และตอนยกเลิกอีกขึ้นกับบริษัทปลายทาง... คือควรจะยกเลิกผ่านแอพมือถือได้เองเลยไหม รู้สึกแย่กับมาตรฐานธนาคาร,neg
neu,ดีครับ รัฐบาลชุดหน้าจะได้เข้าถึง สนช.และทีมรัฐบาลชุดนี้ได้ในภายภาคหน้า,neu
neg,สุดยอด!! อยู่ที่บ้านก็ได้ล่ามโซ่ตรวนกันทุกคน ขอบคุณครับพี่/ลุง,neu
neu,เพราะใกล้เลือกตั้งรึเปล่า อะไรหลายๆอย่าง เลยผ่านออกมาอย่างง่ายๆ,neu
neu,ภาพหัวข้อข่าวมันต้องขึ้นเป็นของ Tesla รึเปล่า,neu
neu,อาจได้เห็น Oracle Linux หรือ Solaris รันบนระบบควบคุมและจอสัมผัสรถ Tesla แน่ๆ ส่วนโรงงาน น่าจะใช้ Oracle Database อยู่แล้,neu
neu,เมื่อ CEO สายบันเทิง กับ Chairman สายบันเทิง อะไรจะเกิดขึ้น?,neu
neu,สงสัยต้องปัดฝุ่นความรู้ Java อืกครั้ง มันเช็ต environment ยังไงหว่าลืมหมดแล้ว :),neu
neu,นิสัยคล้ายๆกับ elon musk มั๊ย,neu
neu,30% เพื่อแค่ฝากแอพสำหรับค่ายใหญ่คงไม่คุ้มมากๆเลย,neu
neg,ลองลง Epic game store แทนดูครับ ส่วนแบ่งแค่ 12% เอง #ผิด,neg
neu,Apple ยอมเหรอ,neu
neg,ดิวปกติจริงๆ แล้วมันควรจะเป็นระบบขั้นบันไดหรือเปล่า? ฟังๆ ดูแล้วระบบปัจุบันมันไม่ค่อยแฟร์สำหรับทุกฝ่ายจนต้องแก้ปัญหาแบบสุดขั่ว,neg
neg,มันน่าจะมีกึ่งกลางปะ เพราะไปใช้ platform เขาหารายได้เหมือนกัน,neu
neg,Apple เสียเปรียบเห็นๆ เพราะผมจะเข้าดู Netflix ผ่าน browser ก็ยังได้,neg
neu,ไม่ได้ดู netflix มานานพอจะต่ออายัทีเข้าหน้าเว็บเลยงงเลย,neg
neu,Filipino Channel Online มีคนตาม 10.4 รายต้องเป็น 10.4ล้านรายหรือเปล่า,neu
neu,ช่วยมาแบนในไทยด้วยเถอะ ขอร้อง,neu
neu,ประเศอื่น --> ประเทศอื่น,neu
neu,ใครลงทุนอยู่ เก็บเงินสดไว้ให้ดีครับ จะขยายวงไปถึงขั้นรบกันผ่านตัวแทนสหรัฐที่ไต้หวันไหมเอ่ย,neu
neu,วันถัดไปจีนจับอดีตฑูตอียู,neu
neu,ทีเอ็งข้าไม่ว่า ทีข้าเอ็งอย่าโวย,neu
neu,รู้สึกว่า Poland ไม่ได้เป็นพันธมิตรกับสหรัฐฯ หรือเปล่า น่าจะไม่มีปัญหาเหมือน Canada ที่กลายเป็นเหยื่อล่อของสหรัฐฯ ให้กับทางการจีนไปแล้ว,neu
neu,ซูก้าบิลเลียดด จับสายลับที่เจอในโปแลนด์ เมืองหลวงชองชนชาติสลาวิกเหนือเนี่ยนะ คนแถวนั้นมันมีคนที่ไม่ได้เป็นสายลับ ด้วยเหลอครับ ? พูดเป็นเล่นไปได้,neu
neu,ฝ่ายขายไม่ใช่เครือญาติ,neu
neg,ใครทำอะไรจีนก็ว่าอเมริกาอยู่เบื้องหลังหมด เหมือนกะลาแลนด์ที่โดนแม้วซื้อไปแล้วทั้งจักรวาล แต่ตัวเองรอดเป็นพระเอกแถมมีเวลาว่าแต่งมาเพลงทั้งอัลบั้ม...,neg
neu,เป็นหัวหน้าฝ่ายขายน่าจะยุ่งและเครียดมากแล้วยังจะเป็นสายลับอีกหรอครับเนี่ย,neu
neg,รุ่นเก่าก็ขายไม่ค่อยออกจะออกอีกแล้ว,neg
neg,หลือแค่ตั้งราคาเลยแต่ไลน์สินค้ามาแบบนี้มีแววโดนด่าไว้ก่อนละ,neg
neu,ต้องยอมลดกำไร ไม่งั้นลูกค้าก็จะลดการซื้อแทน ปีนี้คงยอดหายไปเยอะ ตลาดใหญ่อันดับที่ 2 อย่างจีนกระทบหนัก เจอสงครามการค้าเข้าไป จีนเขาก็ชาตินิยมเยอะอยู่ (+รัฐหนุนทั้งทางตรงและอ้อม),neg
neu,อ่านแว้บแรกเข้าใจว่าออกเฉพาะจอ 6.5 3รุ่น ถ้าสลับตำแหน่งจะเข้าใจง่ายกว่าไหมครับ ออก 3 รุ่น - ได้กล้องหลัง 3 ตัว เฉพาะรุ่นจอ 6.5,neu
neu,แสดงว่าปีนี้ Pixel 4 จะได้เป็นแชมป์มือถือกล้องหลังตัวเดียวชัวร์ๆแล้ว,neu
pos,อ่านแบบนี้ถ้าเป็นจริงเดาเลยว่า xr2 จะขายราคาเท่าเดิม ไม่ลดราคาแน่นอน xs ก็คงเท่าเดิม แสดงว่า line สินค้าจะเหมือนเดิม เพิ่มเติมคือยอมเพิ่มกล้องให้รุ่นล่าง ก็ถือเป็นกลยุทธ์​ที่ดี ดีกว่าลดราคา ไปเพิ่ม utility แทน,neg
neg,พิ่มความหนาเครื่องบ้างก็ได้ ไม่ใช่ทุกคนจะอยากได้บางๆหรอก -_- ปล.ถ้า design ที่หลุดเป็นของจริง เป็นยุคของจ๊อบนี่โดนด่าเละไปแล้วละ -_-,neg
neg,บอดี้เดิมยันชาติหน้า,neu
neu,อยากรู้ว่ามี ฟีเจอร์อะไรว้าว ๆ บ้างในรอบนี้,neu
neu,iPhone รุ่นใหม่ 3 กล้อง ราคา 150k,neu
neg,ถ้ายังมีรอยบากอยู่ก็คงไม่ ว้าวเหมือนเดิม,neg
neg,พัฒนาไม่ทันฝั่งแอนดรอยด์,neg
neg,CPU&GPU ทิ้งขาดอย่างน้อย 1 generation แต่ถ้า benchmark ที่พิจารณาแบบองค์รวม Android ใกล้จะตามทันแล้ว เพราะยัดแรมมหาศาลมาทดแทน,neg
neu,"CPU แรงกว่าทั้งที่ตัวระบบไม่ได้จำเป็นต้องใช้เยอะขนาดนั้นเพื่อให้ลื่น (สังเกตเอาจากพวกรุ่นเก่าๆ เช่น 6,6s ที่อัพแล้วยังลื่นอยู่) แล้วจะแรงไปทำไมล่ะครับอีกอย่างเรื่อง OS มีส่วนดีกว่าผมก็คาดหวังนะตอนถอย iPad 2018 มา มันดีกว่าแค่เรื่อง Multitasking อะ (ยิ่งไม่ใช่ iPad คือไม่นับเป็นข้อดี) แอพเด้งแอพค้างเจอบ่อยกว่าแอนดรอยด์อีก",neg
neg,อันนั้นผมรู้ครับ แต่ที่จะสื่อคือไหนๆตัว OS มันก็กินทรัพยากรไม่ได้เยอะอะไรอยู่แล้ว แทนที่จะเอาแต่เพิ่มความแรง CPU ที่มันเกินหน้าเกินตาแอนดรอยด์ และความต้องการของระบบไปไกลแล้ว มาพัฒนาเรื่องอื่นเกี่ยวกับตัวระบบดีกว่า แก้เรื่องแอพเด้งแอพค้างแบบที่ผมบอกก็ยังดี,neg
pos,ขนาดผมใช้ iPhone 4S หลังจบมหาลัยตอนปี 58 เป็นเครื่องมือสองด้วย ยังใช้ได้ดีมาถึง 2 ปี ขนาดตกรุ่นไปหลายปีแล้วนะ ยังลื่นอยู่เลย จนมาเปลี่ยนเป็น 6S Plus ปีที่แล้ว ผมว่าต่อให้ HW ล้าหลัง แต่ OS สามารถใช้งาน HW ได้เต็มประสิทธิภาพและกินทรัพยากรน้อยนี่ ผมยอมรับในตัว iOS เลยนะ ส่วนเรื่อง Customize ก็เป็น Android ไป,pos
neu,เทียบกับ Pixel 3 นี่ผมว่า iPhone ถ้าไม่ติดเรื่อง OS ก็พอจะแพ้ได้นะครับ,neu
neu,เหมือนกำลังนั่งดู ไทม์ไลน์ Nokia อีกครั้ง,neu
neg,XIr มี 2 กล้อง มองว่าเป็นการทำให้ Xl นั้นขายได้น้อยกว่า ราคาก็ต่างละ ส่วน Xl Max นี่ก็คงยอดขายคงที่,neg
neg,รุ่นถัดไปควรยุบเหลือ 2 รุ่น คือตัวแทน Xs Max กับตัวแทน Xr.,neu
